series_name,model_a,model_b,metric,mean_difference,median_difference,num_seeds_model_a_better,num_seeds_model_b_better,practical_tie_flag
>= 65 yr,deterministic_seir,hospitalized_seihr,test_mae,-0.003929182734207198,-0.0024643751448184953,5,0,False
>= 65 yr,deterministic_seir,probabilistic_seir,test_mae,-0.004151756177099156,-0.0042454013096504956,5,0,False
>= 65 yr,fractional_seir,hospitalized_seihr,test_mae,0.07390873455725341,0.09256339705108588,2,3,False
>= 65 yr,fractional_seir,probabilistic_seir,test_mae,0.07368616111436146,0.0983332951541851,2,3,False
>= 65 yr,hospitalized_seihr,probabilistic_seir,test_mae,-0.00022257344289195735,-0.002179089225634298,3,2,True
Overall,constrained_structure_discovery,delayed_observation_seir,rolling_mean_mae,0.014130000066959178,0.007198693571525597,0,5,False
Overall,constrained_structure_discovery,deterministic_seir,rolling_mean_mae,0.01401001644030336,0.0072328750568600025,0,5,False
Overall,constrained_structure_discovery,fractional_seir,rolling_mean_mae,-0.03524693313629688,-0.0482756050825766,4,1,False
Overall,constrained_structure_discovery,hospitalized_seihr,rolling_mean_mae,0.01160724722641554,0.0052707662643936,0,5,False
Overall,constrained_structure_discovery,probabilistic_seir,rolling_mean_mae,4.340842167930015e-05,-0.006823007177547899,4,1,True
Overall,delayed_observation_seir,deterministic_seir,rolling_mean_mae,-0.00011998362665581741,3.418148533440579e-05,2,3,True
Overall,delayed_observation_seir,fractional_seir,rolling_mean_mae,-0.049376933203256056,-0.055474298654102194,5,0,False
Overall,delayed_observation_seir,hospitalized_seihr,rolling_mean_mae,-0.002522752840543638,-0.0015545672455195975,4,1,False
Overall,delayed_observation_seir,probabilistic_seir,rolling_mean_mae,-0.014086591645279877,-0.014021700749073496,5,0,False
Overall,deterministic_seir,fractional_seir,rolling_mean_mae,-0.04925694957660025,-0.0555084801394366,5,0,False
Overall,deterministic_seir,hospitalized_seihr,rolling_mean_mae,-0.0024027692138878206,-0.0019546143482265937,4,1,False
Overall,deterministic_seir,probabilistic_seir,rolling_mean_mae,-0.01396660801862406,-0.014055882234407902,5,0,False
Overall,fractional_seir,hospitalized_seihr,rolling_mean_mae,0.046854180362712425,0.0501166891770921,0,5,False
Overall,fractional_seir,probabilistic_seir,rolling_mean_mae,0.03529034155797618,0.0414525979050287,0,5,False
Overall,hospitalized_seihr,probabilistic_seir,rolling_mean_mae,-0.01156383880473624,-0.012043151205962,5,0,False
Overall,constrained_structure_discovery,delayed_observation_seir,test_mae,0.0019110265633470985,0.0018880641977792045,0,5,False
Overall,constrained_structure_discovery,deterministic_seir,test_mae,0.0017624664962731574,0.0018621338344250934,0,5,False
Overall,constrained_structure_discovery,fractional_seir,test_mae,-0.04891465149636176,-0.057330747959488594,4,1,False
Overall,constrained_structure_discovery,hospitalized_seihr,test_mae,-0.0011094694162202602,-0.0023521029205295987,3,2,False
Overall,constrained_structure_discovery,probabilistic_seir,test_mae,0.00014752048541823853,0.00015072061633569778,0,5,True
Overall,delayed_observation_seir,deterministic_seir,test_mae,-0.0001485600670739412,-1.438049490420229e-05,4,1,True
Overall,delayed_observation_seir,fractional_seir,test_mae,-0.05082567805970887,-0.05927737398116569,5,0,False
Overall,delayed_observation_seir,hospitalized_seihr,test_mae,-0.0030204959795673584,-0.004245377944275104,5,0,False
Overall,delayed_observation_seir,probabilistic_seir,test_mae,-0.00176350607792886,-0.001752820329746503,5,0,False
Overall,deterministic_seir,fractional_seir,test_mae,-0.050677117992634926,-0.059267403741660694,5,0,False
Overall,deterministic_seir,hospitalized_seihr,test_mae,-0.0028719359124934176,-0.0041656306364851944,5,0,False
Overall,deterministic_seir,probabilistic_seir,test_mae,-0.0016149460108549189,-0.0017232154721348938,5,0,False
Overall,fractional_seir,hospitalized_seihr,test_mae,0.0478051820801415,0.057580267267966896,1,4,False
Overall,fractional_seir,probabilistic_seir,test_mae,0.04906217198178,0.057485776708734795,1,4,False
Overall,hospitalized_seihr,probabilistic_seir,test_mae,0.0012569899016384987,0.002492557614528601,2,3,False
