series_name,model_name,split,calibration_kind,interval_level,nominal_coverage,empirical_coverage,coverage_gap,average_interval_width,uncertainty_method,uncertainty_draws,interval_calibration_method,interval_calibration_scale,artifact_dir
>= 65 yr,probabilistic_seir,test,calibrated,80,0.8,1.0,0.19999999999999996,1.253058644741621,bootstrap,30,conformal,1.0575983089898324,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/ge__65_yr/probabilistic_seir
>= 65 yr,probabilistic_seir,test,calibrated,95,0.95,0.9090909090909091,-0.040909090909090895,1.6843403865346398,bootstrap,30,conformal,0.9997624612761051,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/ge__65_yr/probabilistic_seir
>= 65 yr,probabilistic_seir,test,raw,50,0.5,1.0,0.5,0.7216318182396537,bootstrap,30,conformal,0.9852158901390243,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/ge__65_yr/probabilistic_seir
>= 65 yr,probabilistic_seir,test,raw,80,0.8,1.0,0.19999999999999996,1.1848152877045377,bootstrap,30,conformal,1.0575983089898324,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/ge__65_yr/probabilistic_seir
>= 65 yr,probabilistic_seir,test,raw,95,0.95,1.0,0.050000000000000044,1.6847405776615516,bootstrap,30,conformal,0.9997624612761051,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/ge__65_yr/probabilistic_seir
>= 65 yr,probabilistic_seir,validation,calibrated,50,0.5,0.6,0.09999999999999998,1.0414128562615095,bootstrap,30,conformal,0.9852158901390243,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/ge__65_yr/probabilistic_seir
>= 65 yr,probabilistic_seir,validation,calibrated,80,0.8,0.8,0.0,2.021284508531966,bootstrap,30,conformal,1.0575983089898324,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/ge__65_yr/probabilistic_seir
>= 65 yr,probabilistic_seir,validation,calibrated,95,0.95,1.0,0.050000000000000044,2.5518856186193624,bootstrap,30,conformal,0.9997624612761051,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/ge__65_yr/probabilistic_seir
>= 65 yr,probabilistic_seir,validation,raw,50,0.5,0.6,0.09999999999999998,1.0570402555266898,bootstrap,30,conformal,0.9852158901390243,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/ge__65_yr/probabilistic_seir
>= 65 yr,probabilistic_seir,validation,raw,80,0.8,0.8,0.0,1.9112024776803973,bootstrap,30,conformal,1.0575983089898324,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/ge__65_yr/probabilistic_seir
