series_name,age_family,model_name,split,horizon,calibration_kind,interval_level,nominal_coverage,empirical_coverage,coverage_gap,abs_coverage_gap,average_interval_width,interval_score_mean,interval_score_median,residual_source_used,calibration_points,pooled_horizons_used,pooled_age_family_used,global_pooling_used,uncertainty_method,uncertainty_draws,artifact_dir
18-49 yr,adults,probabilistic_seir,validation,static,conformal_asymmetric,50,0.5,0.3,-0.2,0.2,0.22050113127282917,0.528334257159529,0.6474779334681935,age_family_static,20,True,True,False,bootstrap,30,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/18_49_yr/probabilistic_seir
18-49 yr,adults,probabilistic_seir,validation,static,conformal_standardized,50,0.5,0.2,-0.3,0.3,0.21014374985424977,0.5029777336218932,0.48940267910418883,age_family_static,20,True,True,False,bootstrap,30,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/18_49_yr/probabilistic_seir
18-49 yr,adults,probabilistic_seir,validation,static,raw,50,0.5,0.3,-0.2,0.2,0.21189840186122808,0.5449274745456052,0.674473590751419,none,0,False,False,False,bootstrap,30,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/18_49_yr/probabilistic_seir
18-49 yr,adults,probabilistic_seir,validation,static,scale_calibrated,50,0.5,0.4,-0.09999999999999998,0.09999999999999998,0.23614235947355353,0.5398116870837162,0.6547142839655762,same_series_static_validation,10,False,False,False,bootstrap,30,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/18_49_yr/probabilistic_seir
18-49 yr,adults,probabilistic_seir,validation,static,conformal_absolute,80,0.8,0.6,-0.20000000000000007,0.20000000000000007,0.3645244925193115,0.5875716432163434,0.3721592442584677,same_series_pooled_horizons,26,True,False,False,bootstrap,30,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/18_49_yr/probabilistic_seir
18-49 yr,adults,probabilistic_seir,validation,static,conformal_asymmetric,80,0.8,0.8,0.0,0.0,0.42047227299596956,0.5519174679864559,0.44494571295186075,age_family_static,20,True,True,False,bootstrap,30,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/18_49_yr/probabilistic_seir
18-49 yr,adults,probabilistic_seir,validation,static,conformal_standardized,80,0.8,0.7,-0.10000000000000009,0.10000000000000009,0.4290395626743525,0.5967624547457893,0.4860286975127255,age_family_static,20,True,True,False,bootstrap,30,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/18_49_yr/probabilistic_seir
18-49 yr,adults,probabilistic_seir,validation,static,raw,80,0.8,0.5,-0.30000000000000004,0.30000000000000004,0.38474832748255594,0.7785880368641915,0.5966685367259057,none,0,False,False,False,bootstrap,30,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/18_49_yr/probabilistic_seir
18-49 yr,adults,probabilistic_seir,validation,static,scale_calibrated,80,0.8,0.6,-0.20000000000000007,0.20000000000000007,0.39288876576743637,0.7724902910432367,0.6076347227233241,same_series_static_validation,10,False,False,False,bootstrap,30,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/18_49_yr/probabilistic_seir
18-49 yr,adults,probabilistic_seir,validation,static,conformal_absolute,95,0.95,1.0,0.050000000000000044,0.050000000000000044,0.5415504775145699,0.5415504775145699,0.54404242458412,same_series_pooled_horizons,26,True,False,False,bootstrap,30,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/18_49_yr/probabilistic_seir
18-49 yr,adults,probabilistic_seir,validation,static,conformal_asymmetric,95,0.95,1.0,0.050000000000000044,0.050000000000000044,0.533066910013674,0.533066910013674,0.5383789624491957,age_family_static,20,True,True,False,bootstrap,30,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/18_49_yr/probabilistic_seir
18-49 yr,adults,probabilistic_seir,validation,static,conformal_standardized,95,0.95,0.9,-0.04999999999999993,0.04999999999999993,0.5407471428930859,0.5407471428930859,0.5385485618761685,age_family_static,20,True,True,False,bootstrap,30,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/18_49_yr/probabilistic_seir
18-49 yr,adults,probabilistic_seir,validation,static,raw,95,0.95,0.6,-0.35,0.35,0.49793324150108065,1.5498700839805728,0.752319740606963,none,0,False,False,False,bootstrap,30,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/18_49_yr/probabilistic_seir
